,1/16,,Lab 0 released,
1,1/20,Course Introduction,,
2,1/22,Gaia & Stellar Physics,,
3,1/27,Isochrones & Chi-squared,Lab 0 checkpoint 1 due,
4,1/29,Error Bars,Lab 0 checkpoint 2 due,
5,2/3,Variable Stars & Lab 1 Introduction,,
6,2/5,Dust,"Lab 0 due, Lab 1 released",
7,2/10,Bayesian Statistics & MCMC,,
8,2/12,Savio & High Performance Computing,Lab 1 checkpoint 1 due,
9,2/17,MCMC Convergence & PyMC,,
10,2/19,Lab Reports,,
11,2/24,Reports & Packaging,Lab 1 checkpoint 2 due,
12,2/26,Lab 1 Presentations,,
13,3/3,Introduction to Lab 2: The Cannon,Lab 1 checkpoint 3 due,
14,3/5,The Cannon - Technical,"Lab 1 Due, Lab 2 released",
15,3/10,Bitmasks & Fitting,,
16,3/12,Lab 2 Work Session,,
17,3/17,Lab 2 Checkpoint 1 Presentations,Lab 2 Checkpoint 1 due,
18,3/19,Bootstrapping & Covariances,,
,3/24,,Spring Break,
,3/26,,Spring Break,
19,3/31,Lab 2 Checkpoint 2 Presentations,Lab 2 Checkpoint 2 due,
20,4/2,Lab 2 Work Session,,
21,4/7,Lab 2 Work Session,,
22,4/9,Lab 2 Checkpoint 3 Presentations,Lab 2 Checkpoint 3 due,
,4/13,,Lab 2 due,
23,4/14,Introduction to Lab 3: Galaxies & ML,Lab 3 released,
24,4/16,Neural Nets & PyTorch,,
25,4/21,Lab 3 Checkpoint 1 Presentations & ResNets,Lab 3 checkpoint 1 due,
26,4/23,Lab 3 Work Session,,
27,4/28,Lab 3 Work Session,,
28,4/30,Lab 3 Checkpoint 2 Presentations & Final Thoughts,Lab 3 checkpoint 2 due,
,5/8,,Lab 3 due,
